emp_id,dept_id,emp_name,age,gender,salary,dt
101,11,gopal,45,Male,50000,20240228
101,11,gopal,45,Male,50000,20240428
101,11,gopal,45,Male,50000,20240328
102,12,manisha,40,Female,51000,20240428
103,13,khaleel,34,Male,30000,20240428
104,14,prasanth,30,Male,31000,20240428
105,15,kiran,20,Male,40000,20240428
106,11,laxmi,25,Female,35000,20240428
107,12,bhavya,20,Female,15000,20240428
108,13,reshma,19,Female,14000,20240428
109,14,kranthi,22,Male,22000,20240428
110,15,Satish,24,Male,25000,20240428
111,13,Krishna,25,Male,26000,20240428
112,14,Arshad,28,Male,20000,20240428
113,12,lucy,25,Female,25000,20240428
114,15,lavanya,18,Female,8000,20240428
115,11,David,50,Male,90000,20250101
